storm_id,name,year,month,day,hour,status,lat,lon,wind_knots,pressure_mb,datetime
AL011852,UNNAMED,1852,8,26,6,HU,30.2,-88.6,100,961.0,1852-08-26 06:00:00
AL031853,UNNAMED,1853,9,3,12,HU,19.7,-56.2,130,924.0,1853-09-03 12:00:00
AL031854,UNNAMED,1854,9,7,12,HU,28.0,-78.6,110,938.0,1854-09-07 12:00:00
AL031854,UNNAMED,1854,9,8,18,HU,31.6,-81.1,100,950.0,1854-09-08 18:00:00
AL031854,UNNAMED,1854,9,8,20,HU,31.7,-81.1,100,950.0,1854-09-08 20:00:00
AL041855,UNNAMED,1855,8,27,0,TS,18.4,-69.5,50,997.0,1855-08-27 00:00:00
AL011856,UNNAMED,1856,8,10,18,HU,29.2,-91.1,130,934.0,1856-08-10 18:00:00
AL051856,UNNAMED,1856,8,28,6,HU,23.0,-82.9,90,969.0,1856-08-28 06:00:00
AL021857,UNNAMED,1857,9,12,18,HU,33.3,-78.3,90,961.0,1857-09-12 18:00:00
AL031858,UNNAMED,1858,9,16,18,HU,41.4,-72.0,70,979.0,1858-09-16 18:00:00
AL061859,UNNAMED,1859,10,6,12,HU,42.5,-64.0,110,938.0,1859-10-06 12:00:00
AL081859,UNNAMED,1859,10,29,0,HU,29.2,-79.2,70,989.0,1859-10-29 00:00:00
AL081861,UNNAMED,1861,11,3,12,TS,42.0,-71.5,50,1000.0,1861-11-03 12:00:00
AL081861,UNNAMED,1861,11,3,18,TS,44.0,-70.0,50,999.0,1861-11-03 18:00:00
AL031863,UNNAMED,1863,8,22,12,HU,41.0,-67.8,80,975.0,1863-08-22 12:00:00
AL071865,UNNAMED,1865,10,23,0,HU,22.6,-82.6,80,975.0,1865-10-23 00:00:00
AL061866,UNNAMED,1866,10,2,0,HU,24.5,-77.1,120,938.0,1866-10-02 00:00:00
AL021867,UNNAMED,1867,8,2,12,HU,37.5,-73.5,80,969.0,1867-08-02 12:00:00
AL091867,UNNAMED,1867,10,29,18,HU,18.4,-64.8,100,952.0,1867-10-29 18:00:00
AL061869,UNNAMED,1869,9,8,18,HU,38.8,-72.6,100,950.0,1869-09-08 18:00:00
AL061869,UNNAMED,1869,9,8,21,HU,41.0,-71.9,100,963.0,1869-09-08 21:00:00
AL061869,UNNAMED,1869,9,8,22,HU,41.4,-71.7,100,965.0,1869-09-08 22:00:00
AL061869,UNNAMED,1869,9,9,0,HU,42.8,-71.1,80,973.0,1869-09-09 00:00:00
AL071869,UNNAMED,1869,9,15,18,HU,23.7,-58.6,80,979.0,1869-09-15 18:00:00
AL031870,UNNAMED,1870,9,4,12,TS,19.2,-53.0,40,1004.0,1870-09-04 12:00:00
